,holds,grades,year,angle
1127,"[('A11', 'hold'), ('C17', 'hold'), ('F11', 'hold'), ('F6', 'start'), ('H13', 'hold'), ('I6', 'start'), ('I18', 'end')]",7C+,2019,40
1128,"[('B18', 'end'), ('D11', 'hold'), ('F13', 'hold'), ('H11', 'hold'), ('I5', 'start')]",7C+,2019,40
1129,"[('A6', 'start'), ('C4', 'start'), ('E15', 'hold'), ('H8', 'hold'), ('H5', 'hold'), ('I11', 'hold'), ('J18', 'end')]",7C+,2019,40
1130,"[('A2', 'start'), ('B10', 'hold'), ('C6', 'hold'), ('D14', 'hold'), ('G13', 'hold'), ('H18', 'end')]",7C+,2019,40
1131,"[('B6', 'start'), ('D8', 'hold'), ('H17', 'hold'), ('H13', 'hold'), ('H8', 'hold'), ('K18', 'end')]",7C+,2019,40
1132,"[('A18', 'end'), ('B16', 'hold'), ('C4', 'start'), ('D6', 'start'), ('G16', 'hold'), ('H11', 'hold'), ('J7', 'hold'), ('K5', 'hold')]",7C+,2019,40
1133,"[('D9', 'hold'), ('F15', 'hold'), ('H18', 'end'), ('H11', 'hold'), ('H10', 'hold'), ('H4', 'start'), ('I13', 'hold')]",6B,2019,40
1134,"[('B14', 'hold'), ('D18', 'end'), ('F16', 'hold'), ('F10', 'hold'), ('G6', 'start'), ('G12', 'hold'), ('K3', 'start'), ('K9', 'hold')]",6B,2019,40
1135,"[('D18', 'end'), ('E14', 'hold'), ('G10', 'hold'), ('H15', 'hold'), ('H12', 'hold'), ('I5', 'start'), ('K3', 'start'), ('K9', 'hold')]",6B,2019,40
1136,"[('E10', 'hold'), ('G12', 'hold'), ('G15', 'hold'), ('I8', 'hold'), ('J18', 'end'), ('J5', 'start')]",6B,2019,40
1137,"[('A4', 'start'), ('D9', 'hold'), ('D5', 'start'), ('G12', 'hold'), ('G15', 'hold'), ('I18', 'end'), ('J8', 'hold')]",6B,2019,40
1138,"[('A2', 'start'), ('B18', 'end'), ('B7', 'hold'), ('D15', 'hold'), ('D3', 'start'), ('F4', 'hold'), ('H12', 'hold'), ('H9', 'hold'), ('I15', 'hold'), ('J11', 'hold')]",6B,2019,40
1139,"[('A5', 'start'), ('A11', 'hold'), ('B8', 'hold'), ('E11', 'hold'), ('F15', 'hold'), ('G12', 'hold'), ('J18', 'end'), ('J15', 'hold')]",6B,2019,40
1140,"[('D18', 'end'), ('D15', 'hold'), ('G15', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('J10', 'hold'), ('J6', 'hold')]",6B,2019,40
1141,"[('A9', 'hold'), ('A14', 'hold'), ('B7', 'hold'), ('C12', 'hold'), ('D18', 'end'), ('F8', 'hold'), ('G6', 'hold'), ('H1', 'start'), ('J6', 'start')]",6B,2019,40
1142,"[('A9', 'hold'), ('A14', 'hold'), ('A18', 'end'), ('B11', 'hold'), ('B5', 'start'), ('C12', 'hold'), ('D15', 'hold')]",6A+,2019,40
1143,"[('D18', 'end'), ('F15', 'hold'), ('F10', 'hold'), ('H15', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('J6', 'start')]",6A+,2019,40
1144,"[('E12', 'hold'), ('F15', 'hold'), ('F14', 'hold'), ('F4', 'start'), ('H18', 'end'), ('H10', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('J15', 'hold')]",6A+,2019,40
1145,"[('B18', 'end'), ('C14', 'hold'), ('D15', 'hold'), ('E10', 'hold'), ('G6', 'start'), ('G12', 'hold'), ('H9', 'hold'), ('H4', 'start')]",6A+,2019,40
1146,"[('B5', 'start'), ('D15', 'hold'), ('D9', 'hold'), ('D3', 'start'), ('F8', 'hold'), ('G6', 'hold'), ('G12', 'hold'), ('H18', 'end'), ('H16', 'hold')]",6A+,2019,40
1147,"[('A12', 'hold'), ('B18', 'end'), ('D15', 'hold'), ('F17', 'hold'), ('F10', 'hold'), ('G6', 'start'), ('G12', 'hold'), ('I5', 'start'), ('I8', 'hold')]",6A+,2019,40
1148,"[('B11', 'hold'), ('B8', 'hold'), ('B5', 'start'), ('E5', 'start'), ('E9', 'hold'), ('G12', 'hold'), ('G13', 'hold'), ('H18', 'end'), ('I15', 'hold'), ('J8', 'hold')]",6A+,2019,40
1149,"[('B5', 'start'), ('D9', 'hold'), ('F8', 'hold'), ('G12', 'hold'), ('H10', 'hold'), ('I15', 'hold'), ('J18', 'end'), ('J6', 'hold')]",6A+,2019,40
1150,"[('A5', 'start'), ('B8', 'hold'), ('D10', 'hold'), ('E10', 'hold'), ('H12', 'hold'), ('I13', 'hold'), ('I15', 'hold'), ('J18', 'end')]",6A+,2019,40
1151,"[('F15', 'hold'), ('F10', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('I13', 'hold'), ('J18', 'end')]",6A+,2019,40
1152,"[('A5', 'start'), ('A9', 'hold'), ('B8', 'hold'), ('B5', 'start'), ('C12', 'hold'), ('D18', 'end'), ('E10', 'hold'), ('F15', 'hold'), ('G12', 'hold')]",6A+,2019,40
1153,"[('C14', 'hold'), ('D18', 'end'), ('F17', 'hold'), ('G9', 'hold'), ('G12', 'hold'), ('H5', 'start'), ('J5', 'start')]",6A+,2019,40
1154,"[('B18', 'end'), ('E14', 'hold'), ('F17', 'hold'), ('F10', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('K4', 'start')]",6A+,2019,40
1155,"[('B11', 'hold'), ('D15', 'hold'), ('G5', 'start'), ('G12', 'hold'), ('H18', 'end'), ('H16', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('K9', 'hold')]",6A+,2019,40
1156,"[('D18', 'end'), ('D9', 'hold'), ('F15', 'hold'), ('F8', 'hold'), ('F4', 'start'), ('H12', 'hold')]",6A+,2019,40
1157,"[('A5', 'start'), ('A9', 'hold'), ('D12', 'hold'), ('E2', 'hold'), ('E10', 'hold'), ('F15', 'hold'), ('H12', 'hold'), ('I18', 'end'), ('J15', 'hold'), ('K8', 'hold')]",6A+,2019,40
1158,"[('E14', 'hold'), ('F17', 'hold'), ('F16', 'hold'), ('F5', 'start'), ('G9', 'hold'), ('H12', 'hold'), ('I18', 'end')]",6A+,2019,40
1159,"[('F10', 'hold'), ('F5', 'start'), ('G15', 'hold'), ('H18', 'end'), ('H9', 'hold'), ('J13', 'hold')]",6A+,2019,40
1160,"[('F4', 'start'), ('G9', 'hold'), ('H18', 'end'), ('H16', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('I15', 'hold')]",6A+,2019,40
1161,"[('D18', 'end'), ('E14', 'hold'), ('F5', 'start'), ('F4', 'start'), ('G9', 'hold'), ('H16', 'hold'), ('H12', 'hold')]",6A+,2019,40
1162,"[('A18', 'end'), ('B11', 'hold'), ('C8', 'hold'), ('D15', 'hold'), ('E11', 'hold'), ('F4', 'start'), ('G9', 'hold'), ('H5', 'start')]",6A+,2019,40
1163,"[('C14', 'hold'), ('G5', 'start'), ('G9', 'hold'), ('G12', 'hold'), ('H18', 'end'), ('H16', 'hold'), ('I8', 'hold'), ('J3', 'start')]",6A+,2019,40
1164,"[('A9', 'hold'), ('B8', 'hold'), ('B5', 'start'), ('D11', 'hold'), ('E11', 'hold'), ('F15', 'hold'), ('F4', 'start'), ('G12', 'hold'), ('H18', 'end'), ('H16', 'hold')]",6A+,2019,40
1165,"[('D9', 'hold'), ('F15', 'hold'), ('G5', 'start'), ('G12', 'hold'), ('H9', 'hold'), ('J18', 'end'), ('J15', 'hold'), ('J5', 'start')]",6A+,2019,40
1166,"[('B18', 'end'), ('C14', 'hold'), ('F16', 'hold'), ('G5', 'start'), ('G9', 'hold'), ('G12', 'hold'), ('I5', 'start'), ('I8', 'hold')]",6A+,2019,40
