,holds,grades
73,"[('B6', 'start'), ('C3', 'start'), ('C12', 'hold'), ('G9', 'hold'), ('G15', 'hold'), ('H18', 'end')]",7B+
74,"[('B10', 'hold'), ('C4', 'start'), ('G13', 'hold'), ('G18', 'end'), ('K8', 'hold')]",7B+
75,"[('A18', 'end'), ('C4', 'start'), ('D17', 'hold'), ('F16', 'hold'), ('G10', 'hold'), ('H6', 'hold'), ('J13', 'hold')]",7B+
76,"[('D18', 'end'), ('E14', 'hold'), ('G16', 'hold'), ('I4', 'start'), ('J13', 'hold'), ('J6', 'start'), ('K9', 'hold')]",7B+
77,"[('B6', 'start'), ('C5', 'start'), ('D11', 'hold'), ('F16', 'hold'), ('F10', 'hold'), ('G18', 'end')]",7B+
78,"[('A18', 'end'), ('E17', 'hold'), ('F14', 'hold'), ('H6', 'start'), ('H4', 'start'), ('I10', 'hold')]",7B+
79,"[('A18', 'end'), ('B16', 'hold'), ('E14', 'hold'), ('H11', 'hold'), ('J6', 'start')]",7B+
80,"[('B8', 'hold'), ('B4', 'start'), ('D18', 'end'), ('F4', 'start'), ('G10', 'hold'), ('G14', 'hold'), ('H15', 'hold'), ('H9', 'hold'), ('K5', 'hold'), ('K9', 'hold'), ('K13', 'hold')]",7A
81,"[('B16', 'hold'), ('B9', 'hold'), ('C4', 'start'), ('D18', 'end'), ('D11', 'hold'), ('E11', 'hold'), ('F14', 'hold')]",7A
82,"[('C14', 'hold'), ('E18', 'end'), ('G6', 'start'), ('G13', 'hold'), ('H11', 'hold'), ('J5', 'start'), ('K9', 'hold')]",7A
83,"[('A18', 'end'), ('C15', 'hold'), ('D17', 'hold'), ('D11', 'hold'), ('F13', 'hold'), ('G6', 'start'), ('G8', 'hold'), ('J6', 'start')]",7A
84,"[('A11', 'hold'), ('A15', 'hold'), ('B14', 'hold'), ('F18', 'end'), ('F16', 'hold'), ('F10', 'hold'), ('F7', 'hold'), ('G3', 'start'), ('K5', 'start')]",7A
85,"[('A15', 'hold'), ('D18', 'end'), ('D11', 'hold'), ('E14', 'hold'), ('H9', 'hold'), ('H6', 'start'), ('H2', 'start')]",7A
86,"[('D18', 'end'), ('D15', 'hold'), ('D3', 'start'), ('F7', 'hold'), ('G13', 'hold'), ('I4', 'start'), ('K9', 'hold'), ('K11', 'hold')]",7A
87,"[('G2', 'start'), ('G11', 'hold'), ('H8', 'hold'), ('J18', 'end'), ('J14', 'hold'), ('K6', 'start')]",7A
88,"[('B10', 'hold'), ('D5', 'start'), ('E11', 'hold'), ('F4', 'start'), ('G13', 'hold'), ('H18', 'end'), ('J8', 'hold'), ('K13', 'hold')]",7A
89,"[('A18', 'end'), ('B8', 'hold'), ('D17', 'hold'), ('E14', 'hold'), ('F12', 'hold'), ('G6', 'start')]",7A
90,"[('C5', 'hold'), ('C17', 'hold'), ('D11', 'hold'), ('E14', 'hold'), ('F18', 'end'), ('G6', 'start'), ('G10', 'hold'), ('J3', 'hold'), ('K3', 'start')]",7A
91,"[('A5', 'start'), ('E11', 'hold'), ('E14', 'hold'), ('F13', 'hold'), ('G8', 'hold'), ('H18', 'end'), ('K5', 'hold')]",7A
92,"[('B8', 'hold'), ('B4', 'start'), ('D15', 'hold'), ('E11', 'hold'), ('H18', 'end')]",7A
93,"[('C15', 'hold'), ('F13', 'hold'), ('F10', 'hold'), ('G18', 'end'), ('H6', 'start'), ('J8', 'hold'), ('K5', 'start')]",7A
94,"[('B5', 'start'), ('C6', 'hold'), ('C18', 'end'), ('D16', 'hold'), ('E5', 'start'), ('E12', 'hold'), ('G9', 'hold'), ('G12', 'hold'), ('H16', 'hold')]",7A
95,"[('A18', 'end'), ('C13', 'hold'), ('D17', 'hold'), ('D5', 'start'), ('G10', 'hold'), ('H4', 'start')]",7A
96,"[('E3', 'start'), ('E14', 'hold'), ('F13', 'hold'), ('F10', 'hold'), ('H18', 'end'), ('H8', 'hold'), ('I3', 'start')]",7A
97,"[('D18', 'end'), ('D13', 'hold'), ('D3', 'start'), ('F16', 'hold'), ('G12', 'hold'), ('H1', 'start'), ('I7', 'hold'), ('K5', 'hold')]",7A
98,"[('D18', 'end'), ('D11', 'hold'), ('D5', 'start'), ('F2', 'start'), ('G8', 'hold'), ('G13', 'hold')]",6C+
99,"[('H18', 'end'), ('H14', 'hold'), ('H10', 'hold'), ('I14', 'hold'), ('K5', 'start'), ('K8', 'hold')]",6C+
100,"[('A8', 'hold'), ('B2', 'start'), ('C11', 'hold'), ('D18', 'end'), ('D11', 'hold'), ('F4', 'start'), ('G17', 'hold'), ('H15', 'hold'), ('H12', 'hold'), ('I14', 'hold'), ('J8', 'hold')]",6C+
101,"[('C10', 'hold'), ('D5', 'start'), ('F5', 'start'), ('G13', 'hold'), ('G16', 'hold'), ('H18', 'end')]",6C+
102,"[('D5', 'start'), ('G7', 'hold'), ('H10', 'hold'), ('J3', 'hold'), ('K13', 'hold'), ('K15', 'hold'), ('K18', 'end')]",6C+
103,"[('E8', 'hold'), ('F18', 'end'), ('G10', 'hold'), ('H17', 'hold'), ('H11', 'hold'), ('H6', 'start'), ('I17', 'hold'), ('J13', 'hold')]",6C+
104,"[('A3', 'hold'), ('A11', 'hold'), ('B14', 'hold'), ('B8', 'hold'), ('D17', 'hold'), ('E6', 'hold'), ('G6', 'hold'), ('G14', 'hold'), ('H18', 'end'), ('H1', 'start'), ('J4', 'start')]",6C+
105,"[('A18', 'end'), ('B13', 'hold'), ('D17', 'hold'), ('D5', 'start'), ('F12', 'hold'), ('H4', 'start'), ('I8', 'hold')]",6C+
106,"[('A18', 'end'), ('C13', 'hold'), ('E14', 'hold'), ('H14', 'hold'), ('H9', 'hold'), ('I14', 'hold'), ('K5', 'start'), ('K11', 'hold')]",6C+
107,"[('A5', 'start'), ('A13', 'hold'), ('B8', 'hold'), ('C4', 'start'), ('D18', 'end'), ('D15', 'hold'), ('D11', 'hold')]",6C+
108,"[('C18', 'end'), ('D16', 'hold'), ('E5', 'start'), ('G4', 'start'), ('G13', 'hold'), ('H11', 'hold'), ('H7', 'hold'), ('K9', 'hold')]",6C+
109,"[('B18', 'end'), ('C16', 'hold'), ('D9', 'hold'), ('G13', 'hold'), ('H5', 'start')]",6C+
110,"[('D9', 'hold'), ('E4', 'start'), ('G7', 'hold'), ('G13', 'hold'), ('J18', 'end')]",6C+
111,"[('H5', 'start'), ('I7', 'hold'), ('J18', 'end'), ('J11', 'hold')]",6C+
112,"[('A4', 'start'), ('B18', 'end'), ('D18', 'end'), ('D5', 'start'), ('D4', 'hold'), ('F8', 'hold'), ('G13', 'hold'), ('G17', 'hold'), ('I7', 'hold'), ('K4', 'hold')]",6C+
113,"[('F18', 'end'), ('G6', 'hold'), ('G13', 'hold'), ('H11', 'hold'), ('J4', 'start'), ('K11', 'hold')]",6C+
114,"[('D16', 'hold'), ('F14', 'hold'), ('F13', 'hold'), ('F10', 'hold'), ('G18', 'end'), ('H6', 'start'), ('I11', 'hold'), ('J8', 'hold'), ('J3', 'start')]",6C+
115,"[('A5', 'start'), ('B10', 'hold'), ('D18', 'end'), ('D12', 'hold'), ('F3', 'start'), ('G8', 'hold'), ('G10', 'hold'), ('G13', 'hold'), ('H17', 'hold'), ('J13', 'hold')]",6C+
116,"[('A11', 'hold'), ('A16', 'hold'), ('B14', 'hold'), ('D18', 'end'), ('E3', 'start'), ('E8', 'hold'), ('I4', 'start')]",6C+
117,"[('B18', 'end'), ('C14', 'hold'), ('D10', 'hold'), ('E3', 'start'), ('F15', 'hold'), ('H12', 'hold'), ('I3', 'start'), ('I7', 'hold')]",6C+
118,"[('A5', 'start'), ('C10', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('G14', 'hold'), ('H18', 'end')]",6C+
119,"[('D18', 'end'), ('D12', 'hold'), ('E14', 'hold'), ('F18', 'end'), ('G8', 'hold'), ('G10', 'hold'), ('I2', 'start'), ('J6', 'start')]",6C+
120,"[('B4', 'start'), ('E6', 'start'), ('E13', 'hold'), ('F8', 'hold'), ('G13', 'hold'), ('G16', 'hold'), ('H10', 'hold'), ('J18', 'end')]",6A+
121,"[('D9', 'hold'), ('F5', 'start'), ('G14', 'hold'), ('H18', 'end'), ('H10', 'hold'), ('K15', 'hold')]",6A+
122,"[('C16', 'hold'), ('D9', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F6', 'start'), ('G7', 'hold'), ('G13', 'hold'), ('H5', 'start')]",6A+
123,"[('C16', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F6', 'start'), ('G13', 'hold'), ('H11', 'hold'), ('I7', 'hold'), ('J11', 'hold'), ('J2', 'start')]",6A+
124,"[('C13', 'hold'), ('D17', 'hold'), ('D15', 'hold'), ('D5', 'start'), ('F18', 'end'), ('F12', 'hold'), ('F5', 'start'), ('H18', 'end'), ('H11', 'hold'), ('I8', 'hold')]",6A+
125,"[('E3', 'start'), ('E13', 'hold'), ('F8', 'hold'), ('H5', 'start'), ('J18', 'end'), ('J16', 'hold'), ('J11', 'hold')]",6A+
126,"[('B18', 'end'), ('C16', 'hold'), ('E13', 'hold'), ('F8', 'hold'), ('F6', 'start'), ('H5', 'start'), ('J11', 'hold')]",6A+
